sample_idx,char_idx,obj_idx,query_pair,is_unknown,state_idx,target_state,queried_character,queried_object,question,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,cluster
0,0,0,0,0,0,wine,Charlie,jar,What does Charlie believe the jar contains?,9.35689,8.941254,2.2827225,-7.419442,0.68863857,4.9432163,-0.14206357,3.5576205,0.40696102,-2.0938013,1
1,0,0,0,0,0,tea,Heidi,cup,What does Heidi believe the cup contains?,9.026641,1.3035004,0.89495903,-2.8109527,-1.4857137,4.7367506,-4.8030796,-1.5965989,4.460107,2.6610782,1
2,1,1,3,0,1,wine,Anna,tank,What does Anna believe the tank contains?,7.2304363,7.414696,-2.0568423,-1.1926546,8.534072,2.7475915,0.22851829,1.79215,-3.1417668,-3.921027,1
3,0,0,0,0,0,champagne,Dean,pitcher,What does Dean believe the pitcher contains?,10.174295,8.500557,-1.0935299,9.510898,-11.828492,1.682621,4.540854,3.4439561,2.921532,-2.0908887,1
4,1,1,3,0,1,beer,Kevin,mug,What does Kevin believe the mug contains?,8.55553,4.6039877,1.0824999,0.31851387,5.922196,-2.9604442,-0.61130804,2.8046534,2.9207225,3.4430447,1
5,1,0,2,1,-1,unknown,Oscar,cup,What does Oscar believe the cup contains?,-8.547921,2.6689322,-2.0796762,-1.5349466,-1.6792804,-2.712986,-1.159491,2.5138743,-2.8618517,4.1264997,0
6,0,0,0,0,0,cocktail,Eve,container,What does Eve believe the container contains?,8.087392,-3.262234,-2.9525836,-0.30377933,-3.4416373,5.471896,-1.735501,-6.032929,-1.7587653,-5.450445,1
7,0,1,1,1,-1,unknown,Carl,flask,What does Carl believe the flask contains?,-10.6496105,1.6104859,4.6434298,-0.22211169,1.4749984,1.5942091,0.12323518,-0.2678139,-0.3941352,-0.62834436,0
8,1,0,2,1,-1,unknown,Zoe,container,What does Zoe believe the container contains?,0.8911497,-1.2378359,-7.4203043,2.113761,2.9040556,5.898947,-0.25215772,-2.1448855,-1.7115669,-4.6349525,1
9,0,0,0,0,0,float,Ken,container,What does Ken believe the container contains?,7.5842624,-5.995258,1.3710266,-3.415625,-2.3999622,-4.651021,-1.1398,-1.7457991,5.9775295,-1.445708,1
10,0,1,1,1,-1,unknown,Grace,can,What does Grace believe the can contains?,-11.1981945,-0.71156514,5.000727,1.1562994,-0.23670667,1.1346518,-0.05952889,-1.1884712,1.6426078,-0.9290447,0
11,1,1,3,0,1,champagne,Chad,bottle,What does Chad believe the bottle contains?,8.844648,7.4011807,-2.9427872,13.842417,-4.035081,-0.5576767,4.1768517,3.2111335,0.78363425,-3.8828986,1
