subspace,experiment,anchor_layer,rank,dcm_full_rank_acc,dcm_subspace_acc,probe_full_acc,probe_proj_acc,probe_orth_acc,probe_full_baseline,probe_proj_baseline,probe_orth_baseline,probe_variable,dcm_path,basis_path
pointer_lamb0p02,answer_lookback-pointer,0,0,0.0,0.0,0.45161290322580644,0.5141700404858299,0.45161290322580644,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/0.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/0.pt
pointer_lamb0p02,answer_lookback-pointer,2,0,0.0,0.0,0.4838709677419355,0.5141700404858299,0.4838709677419355,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/2.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/2.pt
pointer_lamb0p02,answer_lookback-pointer,4,0,0.0,0.0,0.967741935483871,0.5141700404858299,0.967741935483871,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/4.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/4.pt
pointer_lamb0p02,answer_lookback-pointer,6,0,0.0,0.0,0.9838709677419355,0.5141700404858299,0.9838709677419355,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/6.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/6.pt
pointer_lamb0p02,answer_lookback-pointer,8,0,0.0,0.0,0.967741935483871,0.5141700404858299,0.967741935483871,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/8.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/8.pt
pointer_lamb0p02,answer_lookback-pointer,10,0,0.0,0.0,1.0,0.5141700404858299,1.0,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/10.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/10.pt
pointer_lamb0p02,answer_lookback-pointer,12,0,0.0,0.0,1.0,0.5141700404858299,1.0,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/12.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/12.pt
pointer_lamb0p02,answer_lookback-pointer,14,0,0.0,0.0,1.0,0.5141700404858299,1.0,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/14.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/14.pt
pointer_lamb0p02,answer_lookback-pointer,16,1,0.0,0.0,1.0,0.8387096774193549,0.9516129032258065,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/16.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/16.pt
pointer_lamb0p02,answer_lookback-pointer,18,2,0.0,0.0,1.0,1.0,0.7741935483870968,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/18.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/18.pt
