subspace,experiment,anchor_layer,rank,dcm_full_iia,dcm_sub_iia,dcm_complement_iia,dcm_path,basis_path
pointer_lamb0p02,answer_lookback-pointer,0,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/0.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/0.pt
pointer_lamb0p02,answer_lookback-pointer,2,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/2.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/2.pt
pointer_lamb0p02,answer_lookback-pointer,4,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/4.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/4.pt
pointer_lamb0p02,answer_lookback-pointer,6,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/6.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/6.pt
pointer_lamb0p02,answer_lookback-pointer,8,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/8.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/8.pt
pointer_lamb0p02,answer_lookback-pointer,10,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/10.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/10.pt
pointer_lamb0p02,answer_lookback-pointer,12,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/12.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/12.pt
pointer_lamb0p02,answer_lookback-pointer,14,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/14.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/14.pt
pointer_lamb0p02,answer_lookback-pointer,16,1,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/16.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/16.pt
pointer_lamb0p02,answer_lookback-pointer,18,2,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/18.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/18.pt
pointer_lamb0p02,answer_lookback-pointer,20,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/20.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/20.pt
pointer_lamb0p02,answer_lookback-pointer,22,1,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/22.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/22.pt
pointer_lamb0p02,answer_lookback-pointer,24,1,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/24.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/24.pt
pointer_lamb0p02,answer_lookback-pointer,26,2,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/26.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/26.pt
pointer_lamb0p02,answer_lookback-pointer,28,22,0.0,0.025,0.0125,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/28.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/28.pt
