subspace,experiment,anchor_layer,rank,dcm_full_iia,dcm_sub_iia,dcm_complement_iia,dcm_path,basis_path
payload_lamb0p1,answer_lookback-payload,0,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/0.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/0.pt
payload_lamb0p1,answer_lookback-payload,2,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/2.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/2.pt
payload_lamb0p1,answer_lookback-payload,4,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/4.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/4.pt
payload_lamb0p1,answer_lookback-payload,6,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/6.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/6.pt
payload_lamb0p1,answer_lookback-payload,8,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/8.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/8.pt
payload_lamb0p1,answer_lookback-payload,10,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/10.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/10.pt
payload_lamb0p1,answer_lookback-payload,12,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/12.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/12.pt
payload_lamb0p1,answer_lookback-payload,14,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/14.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/14.pt
payload_lamb0p1,answer_lookback-payload,16,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/16.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/16.pt
payload_lamb0p1,answer_lookback-payload,18,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/18.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/18.pt
payload_lamb0p1,answer_lookback-payload,20,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/20.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/20.pt
payload_lamb0p1,answer_lookback-payload,22,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/22.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/22.pt
payload_lamb0p1,answer_lookback-payload,24,0,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/24.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/24.pt
payload_lamb0p1,answer_lookback-payload,26,1,0.0,0.0,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/26.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/26.pt
payload_lamb0p1,answer_lookback-payload,28,2,0.025,0.025,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/28.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/28.pt
payload_lamb0p1,answer_lookback-payload,30,2,0.075,0.05,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/30.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/30.pt
payload_lamb0p1,answer_lookback-payload,32,3,0.0625,0.075,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/32.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/32.pt
payload_lamb0p1,answer_lookback-payload,34,4,0.0625,0.0875,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/34.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/34.pt
payload_lamb0p1,answer_lookback-payload,36,21,0.1875,0.1625,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/36.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/36.pt
payload_lamb0p1,answer_lookback-payload,38,24,0.2,0.2,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/38.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/38.pt
payload_lamb0p1,answer_lookback-payload,40,28,0.3875,0.2875,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/40.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/40.pt
payload_lamb0p1,answer_lookback-payload,42,26,0.8625,0.65,0.0,/vol/results/full_dcm_svd_n80_lr0p1_payload_lamb0p1/lamb_0p1/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/payload/42.json,/vol/svd_snapshots/svd_n80/answer_lookback-payload/causalToM/last_token/singular_vecs/42.pt
