sample_idx,char_idx,obj_idx,query_pair,is_unknown,state_idx,target_state,queried_character,queried_object,question,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,cluster
0,0,0,0,0,0,wine,Charlie,jar,What does Charlie believe the jar contains?,8.4194975,1.7256712,-6.064307,-2.9815898,3.3858328,-3.571699,-4.737825,3.2338295,3.4909055,0.48740104,1
1,0,0,0,0,0,tea,Heidi,cup,What does Heidi believe the cup contains?,8.281874,-0.90931535,-0.6021349,0.7177808,3.7735736,4.0343094,-0.90082604,-3.0136092,2.2536013,-1.4036218,1
2,1,1,3,0,1,wine,Anna,tank,What does Anna believe the tank contains?,6.790256,2.519991,-1.0876961,-8.085028,2.7273872,-1.2072045,-1.1081158,3.5685425,0.0044605336,0.071906306,1
3,0,0,0,0,0,champagne,Dean,pitcher,What does Dean believe the pitcher contains?,9.352633,2.1256819,-4.182898,4.615458,-0.08775491,5.500435,2.1759498,3.8215296,0.622214,0.54248744,1
4,1,1,3,0,1,beer,Kevin,mug,What does Kevin believe the mug contains?,8.183695,1.0886973,-3.7938151,-5.284362,-0.7045065,1.9217789,2.3169072,-2.9501648,0.87960905,0.4843614,1
5,1,0,2,1,-1,unknown,Oscar,cup,What does Oscar believe the cup contains?,-8.378643,3.8050475,-1.7793248,-0.12882446,-0.9497889,0.0990362,0.77955145,-0.25997204,-0.7318168,-0.92619354,0
6,0,0,0,0,0,cocktail,Eve,container,What does Eve believe the container contains?,7.9582267,0.77313304,6.00886,2.232081,4.6384635,-0.370572,-1.1482164,5.0201573,-1.2197388,-0.733403,1
7,0,1,1,1,-1,unknown,Carl,flask,What does Carl believe the flask contains?,-10.224504,-3.194672,-1.3961526,-1.188604,1.3105868,-0.53679645,-0.4139177,0.8687753,1.0604634,0.39562637,0
8,1,0,2,1,-1,unknown,Zoe,container,What does Zoe believe the container contains?,0.745971,3.4852872,5.466964,-1.4879724,2.0893114,0.83980894,0.83157974,0.86586773,0.38526157,0.83058465,1
9,0,0,0,0,0,float,Ken,container,What does Ken believe the container contains?,7.443357,-1.0846574,-1.190086,3.0657465,-4.8536716,-3.8182526,-2.7209673,1.6448747,1.7550803,1.7327886,1
10,0,1,1,1,-1,unknown,Grace,can,What does Grace believe the can contains?,-10.452616,-3.5685205,0.037980177,0.4535815,0.5531574,0.19368485,0.70565456,1.1686649,0.72420645,-1.4242952,0
11,1,1,3,0,1,champagne,Chad,bottle,What does Chad believe the bottle contains?,8.472715,1.5319275,0.17158954,-0.422005,-2.9263358,4.972333,4.141648,4.199413,-1.2770004,0.9008732,1
12,1,1,3,0,1,stout,David,pint,What does David believe the pint contains?,8.043578,-0.3113955,-0.9119736,-1.5707215,-5.105784,-0.6108505,6.433368,-0.7509059,4.599936,-2.5980616,1
13,1,1,3,0,1,wine,Zoe,can,What does Zoe believe the can contains?,8.7765255,2.408733,-3.6462364,-8.1465845,1.6619258,-3.0499403,-2.2237668,5.1832395,0.66989326,-2.5112329,1
14,1,0,2,1,-1,unknown,Rose,quart,What does Rose believe the quart contains?,-8.032117,4.0063963,0.7290908,-0.077831395,-1.561853,1.2078825,-2.3808177,-1.7521402,-0.025635533,-1.5347111,0
15,1,0,2,1,-1,unknown,Lee,glass,What does Lee believe the glass contains?,-9.010246,1.4567378,0.020768324,-0.41659427,-1.0977228,-0.013995367,1.7172164,0.029854033,1.8478429,-1.0623523,0
16,0,0,0,0,0,monster,Jean,tote,What does Jean believe the tote contains?,5.874114,-4.6828227,0.511813,4.697845,-1.5094304,-3.2349885,-2.984269,2.3025713,1.1282665,-3.982988,1
17,1,0,2,1,-1,unknown,Fred,can,What does Fred believe the can contains?,-5.6842794,6.1955676,-0.83425784,-2.6820712,-0.90116864,0.8341215,0.070880026,-1.7951295,-0.054063153,0.2185079,0
18,0,1,1,1,-1,unknown,Zoe,vat,What does Zoe believe the vat contains?,-10.40748,-5.907354,-1.3152726,0.8891054,1.0324161,0.5552517,-1.5108252,0.005455002,0.4193263,-0.1459765,0
19,0,0,0,0,0,soda,Charlie,tote,What does Charlie believe the tote contains?,7.8915057,-1.620695,2.060896,1.96162,2.4554992,0.2660099,-2.9464931,-0.8790867,1.7933908,-0.5622415,1
20,1,0,2,1,-1,unknown,James,dispenser,What does James believe the dispenser contains?,-8.148939,1.9815313,-2.0923328,-0.87666065,-0.89525986,0.5404835,0.36877403,-0.9384235,0.058841284,1.8457953,0
21,0,0,0,0,0,tea,Pam,drum,What does Pam believe the drum contains?,6.52377,-1.5468315,-0.59590197,1.6129763,4.1979747,1.6145043,-1.8409505,-1.6711704,-1.0787522,-0.61270446,1
22,1,0,2,1,-1,unknown,Mary,dispenser,What does Mary believe the dispenser contains?,-8.974421,1.2312466,-0.8672003,0.9045285,-0.13109294,1.4985058,-0.8943585,-0.8774161,-0.22839643,-0.05766109,0
23,1,1,3,0,1,ale,Jane,flask,What does Jane believe the flask contains?,8.436463,-1.5254632,1.1253326,-1.383006,-0.004525275,0.5879781,0.7289938,-0.86087096,-0.67830795,0.537378,1
24,1,0,2,1,-1,unknown,Tina,glass,What does Tina believe the glass contains?,-7.995777,6.4474545,-1.4997451,-2.6812463,-0.49460799,0.4081527,-1.8926613,1.3104877,0.20699573,-1.4899698,0
25,0,0,0,0,0,wine,Heidi,bottle,What does Heidi believe the bottle contains?,9.527336,4.8944616,-6.1632133,-3.589255,3.2420313,-2.9146128,-3.2523577,3.8451705,2.6939707,-1.4455643,1
26,0,1,1,1,-1,unknown,Sean,pint,What does Sean believe the pint contains?,-8.564408,0.71525615,0.59314126,-0.24763954,-0.4362049,0.19425969,-0.14507334,-1.2874714,1.1051695,0.4494331,0
27,1,0,2,1,-1,unknown,Ray,jug,What does Ray believe the jug contains?,-9.579371,0.3424489,0.012207143,0.054174557,-0.8972525,-0.038015727,-1.4068389,-0.8522849,0.44551042,0.08078413,0
28,1,1,3,0,1,ale,Lily,jug,What does Lily believe the jug contains?,1.2303617,4.269104,3.798655,-2.9603696,2.880098,0.49328083,2.1488113,-0.50439036,0.42095852,1.6032726,1
29,0,0,0,0,0,ale,Tim,urn,What does Tim believe the urn contains?,6.5164814,-0.80027986,-1.2975123,4.316675,3.1519015,-1.7092029,0.8734089,-0.41140348,0.84620714,2.6489704,1
30,0,1,1,1,-1,unknown,Rose,glass,What does Rose believe the glass contains?,-3.5271356,5.7525234,4.019387,-5.0139513,5.111729,0.44619805,0.46193263,1.6217692,1.6998522,-1.8681211,0
31,0,1,1,1,-1,unknown,Rachel,can,What does Rachel believe the can contains?,-10.667748,-3.6698668,-1.5346916,-1.5224333,2.107759,-0.363593,-0.61275303,1.5598979,0.3246627,-0.67260545,0
32,0,0,0,0,0,water,Eve,cup,What does Eve believe the cup contains?,6.5908065,1.2725486,-5.015902,0.833692,1.6764529,2.2987814,-3.69908,-2.9498234,5.8928337,1.8371323,1
33,0,1,1,1,-1,unknown,Ian,jug,What does Ian believe the jug contains?,-9.305166,-1.6440935,1.4588019,-0.18698348,2.113699,-0.787794,-0.08933152,-1.1354396,0.3762507,0.7175313,0
34,1,0,2,1,-1,unknown,Jean,can,What does Jean believe the can contains?,-8.200538,2.9190915,-0.8655894,-0.46707848,-0.90455383,-1.0762846,0.10358742,-1.6089215,-1.9483739,-1.6448141,0
35,0,1,1,1,-1,unknown,Megan,cup,What does Megan believe the cup contains?,-9.658472,-1.3596444,0.3676006,-0.3477216,1.7944548,0.7990246,1.3632326,0.3862906,-1.485436,-1.3060477,0
36,0,0,0,0,0,monster,Pam,drum,What does Pam believe the drum contains?,6.7612457,-4.7959847,-0.41660708,2.9223707,-1.6890903,-3.1938806,-3.4920144,1.2076689,0.40660897,-6.096222,1
37,1,0,2,1,-1,unknown,Donna,tote,What does Donna believe the tote contains?,-8.103179,4.536693,-0.8593581,0.9367845,-1.4098482,0.09728123,0.013810689,0.07862315,-0.5724797,-0.79550457,0
38,0,1,1,1,-1,unknown,Mark,tote,What does Mark believe the tote contains?,-10.775937,-5.1259584,-0.6371373,0.8067187,0.7927154,-0.52211356,-1.2898197,-0.80076677,0.83858633,0.3353008,0
39,0,1,1,1,-1,unknown,Mary,vat,What does Mary believe the vat contains?,-10.315511,-3.542281,-1.2842025,0.6179255,1.6412884,-0.18534552,0.8950654,-0.13239133,-1.3030092,-0.5672419,0
40,1,1,3,0,1,stout,Oscar,flute,What does Oscar believe the flute contains?,7.6408896,-2.5812268,-0.3345975,-1.8544832,-3.9764078,1.0073681,5.2946157,-0.023112603,5.387185,-4.9642506,1
41,0,0,0,0,0,cocoa,Olivia,mug,What does Olivia believe the mug contains?,7.483416,0.21634501,-1.3612797,4.0179353,1.0705471,3.7327378,-1.1141831,0.106515564,-1.0792063,-0.15653063,1
42,0,0,0,0,0,soda,Fred,vat,What does Fred believe the vat contains?,8.262865,-0.5235217,-0.17505139,1.0386642,1.0560446,-0.124192685,-2.1107528,-2.1972795,1.8775107,-0.61628306,1
43,1,0,2,1,-1,unknown,Alice,pitcher,What does Alice believe the pitcher contains?,-7.9876776,3.6531281,-1.9039323,-0.46281528,-1.0711663,0.4796899,0.7469281,-0.3704987,-1.9786025,-1.7798345,0
44,0,0,0,0,0,soda,Ken,flask,What does Ken believe the flask contains?,8.506178,0.8288923,-1.2902569,1.2042856,0.53619117,0.25824246,-1.7013017,-3.497392,1.8486949,-0.34959775,1
45,0,1,1,1,-1,unknown,Will,can,What does Will believe the can contains?,-10.818469,-5.001524,-0.47217992,0.30055472,0.37434265,-1.4745603,-0.49962395,-1.3936355,-0.14249606,0.44240487,0
46,1,0,2,1,-1,unknown,Dan,container,What does Dan believe the container contains?,0.2503544,-1.3381094,6.1514573,-1.6673368,0.86752117,-2.2517865,1.5662745,0.4535927,2.1752498,0.76272154,1
47,1,0,2,1,-1,unknown,Charlie,tun,What does Charlie believe the tun contains?,-7.4280777,4.930014,-0.83279526,0.16469204,-1.9038014,1.1872469,-2.082372,-1.6585627,0.5153753,0.7539964,0
48,1,0,2,1,-1,unknown,Oscar,pitcher,What does Oscar believe the pitcher contains?,-8.605384,2.2236881,-1.8842465,-0.36630213,-0.7203274,0.18960516,1.0628545,-0.13180484,-0.9404739,-0.5993668,0
49,0,1,1,1,-1,unknown,Pete,tank,What does Pete believe the tank contains?,-10.836391,-4.7964773,-1.0523345,0.50315195,0.61474687,-0.3837241,-0.075659394,-0.6423895,0.778718,0.8268995,0
50,0,0,0,0,0,milk,Cathy,flask,What does Cathy believe the flask contains?,8.283487,0.2616643,-1.1350847,2.3656392,2.44475,3.55821,-5.583046,-4.1698956,0.5901897,-1.1672373,1
51,0,0,0,0,0,espresso,Ken,quart,What does Ken believe the quart contains?,8.182912,2.0095472,-2.3957129,4.638852,-0.60455966,1.5107367,0.6340405,0.100576945,2.2934394,4.4062634,1
52,1,1,3,0,1,juice,Julia,tun,What does Julia believe the tun contains?,9.495311,-0.41259524,3.025571,-2.0457556,0.6997271,2.0309298,-1.8251436,-0.86949366,-2.3461845,-1.6291852,1
53,0,1,1,1,-1,unknown,Julia,can,What does Julia believe the can contains?,-10.795773,-4.9465075,-0.39517567,0.31980145,0.746539,0.2883059,-0.21221921,0.8070329,0.6267789,-0.4378925,0
54,1,0,2,1,-1,unknown,Lily,bottle,What does Lily believe the bottle contains?,-8.434068,3.369538,-0.5520252,1.0627412,-1.0645924,1.629649,-1.9272522,0.46273145,-1.8233265,0.23468809,0
55,0,1,1,1,-1,unknown,Dave,horn,What does Dave believe the horn contains?,-10.636688,-2.8501823,-1.6918201,0.90091854,1.5960407,-1.3463194,1.7631546,0.086695075,-0.5623446,0.79506546,0
56,1,0,2,1,-1,unknown,Lisa,vat,What does Lisa believe the vat contains?,-8.909467,2.5999382,-0.80782044,0.77739984,-0.48904723,0.14013718,-0.7392605,-0.2202169,-0.82252955,-0.075047605,0
57,0,1,1,1,-1,unknown,Pete,drum,What does Pete believe the drum contains?,-10.959497,-3.5473952,-1.9488757,0.41818932,0.90292114,-0.8256827,0.34028828,-0.8851718,0.058225244,0.62743866,0
58,0,1,1,1,-1,unknown,Kim,tun,What does Kim believe the tun contains?,-10.212167,-5.042471,0.40658212,0.39743853,-0.21252032,-1.0415238,-0.49034408,0.42399788,0.16851822,-0.33659214,0
59,0,0,0,0,0,porter,Max,can,What does Max believe the can contains?,7.74469,1.8315463,-2.0958996,2.8462443,-2.6634123,-3.1311612,2.5126083,1.8788654,1.4463751,0.97208375,1
60,0,1,1,1,-1,unknown,Wayne,pint,What does Wayne believe the pint contains?,-8.457075,-0.5871695,0.9376599,-0.2133775,-0.35686713,-0.65555423,1.2497393,0.4979181,1.5550052,0.66198456,0
61,1,0,2,1,-1,unknown,John,tun,What does John believe the tun contains?,-9.141727,1.2833824,0.41913226,0.8297839,-0.21227531,-0.553557,0.11356214,0.3536374,-0.25564787,0.3735229,0
62,1,1,3,0,1,port,Phil,pitcher,What does Phil believe the pitcher contains?,6.7586174,-2.4164128,-1.7071413,-0.12807277,-3.7230775,-0.80245715,2.7036176,2.5581343,-2.87687,4.418259,1
63,1,1,3,0,1,espresso,Dean,container,What does Dean believe the container contains?,3.8095303,2.0493572,3.472015,-2.326801,-0.48102236,1.9621981,2.2263908,0.5020391,1.4301872,3.7190244,1
64,0,1,1,1,-1,unknown,Jeff,vat,What does Jeff believe the vat contains?,-9.803946,-5.334788,0.22497272,0.1832183,1.3843096,-0.16888084,0.1817452,0.17855851,0.70564,0.24062255,0
65,0,1,1,1,-1,unknown,Keith,tote,What does Keith believe the tote contains?,-9.934542,-2.7812989,0.10096905,-0.3270051,1.4882243,1.4771907,1.2326334,1.2074873,0.38878486,0.07226795,0
66,1,0,2,1,-1,unknown,Anna,flute,What does Anna believe the flute contains?,-7.1816325,4.948682,-0.9550745,1.2718868,-0.562983,1.7984307,-1.5775819,-2.485549,0.53638035,-0.30938825,0
67,1,1,3,0,1,porter,Phil,drum,What does Phil believe the drum contains?,7.1589284,0.51057553,0.07208219,-1.9931911,-4.3930817,-0.28564796,5.1713514,2.1177435,1.9000428,1.7323197,1
68,0,0,0,0,0,beer,Rose,flute,What does Rose believe the flute contains?,8.60131,0.21650992,-4.6423664,-1.6154685,3.420525,3.7050257,1.5548931,-3.2915351,2.0966928,0.23170854,1
69,0,0,0,0,0,milk,Julia,vat,What does Julia believe the vat contains?,7.34005,-3.3207757,-2.575554,2.3841608,2.4324245,2.589057,-3.9837527,-4.625071,0.59321547,-0.18474762,1
70,1,1,3,0,1,float,Rachel,vat,What does Rachel believe the vat contains?,4.335465,-5.480302,4.6681094,-0.64391804,-6.840667,0.426912,-4.09257,0.4267113,-0.8594715,4.493391,1
71,0,1,1,1,-1,unknown,Rob,tun,What does Rob believe the tun contains?,-10.349989,-4.6598454,-0.30441135,-0.1914417,1.4848773,-0.06203002,1.086377,0.5570456,-0.9513201,0.7226777,0
72,0,1,1,1,-1,unknown,Tina,can,What does Tina believe the can contains?,-9.568301,-4.031358,1.302806,0.27624387,0.81114477,-0.29305354,-0.66780084,0.9754601,0.9404662,-2.0020275,0
73,1,0,2,1,-1,unknown,Frank,flask,What does Frank believe the flask contains?,-6.609451,7.3787603,-2.4291878,1.039054,-2.246627,-1.8643427,-0.14196151,-1.3041238,-1.6908505,-0.0014279556,0
74,0,0,0,0,0,porter,Rachel,bottle,What does Rachel believe the bottle contains?,7.8167534,2.8380382,-1.1763862,2.842437,-1.9828233,-0.84436417,0.37859797,2.37477,-0.12717059,-0.67338496,1
75,0,0,0,0,0,cocoa,Phil,pint,What does Phil believe the pint contains?,7.6994624,-1.0147592,0.14796399,4.2999644,1.713127,1.6792563,-1.1468618,0.6121174,-1.774263,0.64720684,1
76,1,0,2,1,-1,unknown,Jean,drum,What does Jean believe the drum contains?,-6.079851,4.5202107,-0.027729888,-0.22736427,-1.9829835,-0.8655367,-0.27747062,1.2171621,-1.6520802,0.81446016,0
77,0,1,1,1,-1,unknown,Amy,tun,What does Amy believe the tun contains?,-11.022941,-4.755396,-0.6416194,0.1300232,0.44342288,-0.015740868,-0.2227984,0.36480895,-0.7047004,0.6291745,0
78,1,1,3,0,1,punch,Gwen,dispenser,What does Gwen believe the dispenser contains?,8.375207,0.36824328,5.804088,-1.8518037,-0.34066874,1.341109,-0.02388109,0.12999351,-2.1625984,-0.57328326,1
79,0,1,1,1,-1,unknown,Greg,flute,What does Greg believe the flute contains?,-9.792292,-4.0058265,-1.4773841,-0.6258979,1.2148434,-0.6471682,1.2967277,0.20489019,-0.71340346,-0.29499918,0
80,0,1,1,1,-1,unknown,Heidi,mug,What does Heidi believe the mug contains?,-9.891196,-1.8722631,-0.096276104,0.07792358,0.3353902,1.4708772,1.1356466,1.2195601,0.21150205,-1.0674239,0
81,1,1,3,0,1,coffee,Lee,horn,What does Lee believe the horn contains?,6.3354564,-0.6114404,-1.6263362,-3.4461682,-1.8330839,3.1198916,-2.6068864,0.8927702,-1.2139796,2.0174859,1
82,0,1,1,1,-1,unknown,Kevin,can,What does Kevin believe the can contains?,-10.645891,-3.349071,-0.81287086,0.7567691,1.9483547,-0.8006559,1.4636861,-0.2532207,0.48072016,1.4361215,0
83,0,0,0,0,0,cocktail,Jake,tank,What does Jake believe the tank contains?,7.7216387,-2.3145094,1.911546,2.6156092,1.4194608,-0.15560733,-0.69778746,3.2443876,-1.5305758,0.46687526,1
84,0,0,0,0,0,water,Jane,bottle,What does Jane believe the bottle contains?,7.4183545,2.65936,-5.478738,1.8587439,0.3546125,2.458613,-5.900998,-1.9268866,3.958202,2.3341672,1
85,1,1,3,0,1,cocoa,Lily,drum,What does Lily believe the drum contains?,9.519623,-0.17211704,2.5735676,-1.4666005,-0.7128601,0.82813936,-0.7282156,1.092439,-4.969146,0.10033989,1
86,0,0,0,0,0,juice,Gary,tote,What does Gary believe the tote contains?,7.5431566,0.07094306,-0.26962483,3.6116328,2.4227314,-1.5273902,-2.7964978,0.61471075,-1.3561914,-0.5696258,1
87,0,0,0,0,0,porter,John,horn,What does John believe the horn contains?,7.496644,0.560367,-1.2367926,2.5776489,-1.2553995,-2.5246093,1.4324567,2.9397564,0.86781067,1.0492322,1
88,0,1,1,1,-1,unknown,Ivy,tote,What does Ivy believe the tote contains?,-11.021326,-5.124919,-0.47824678,-0.047837682,2.16347,1.1842415,0.089664206,0.14348303,0.21138145,0.19775695,0
89,1,0,2,1,-1,unknown,Tim,quart,What does Tim believe the quart contains?,-7.420105,2.0920858,-8.012095e-06,0.8937418,-2.9824927,-1.0898039,-1.0607922,-0.39679897,0.4443861,-2.177755,0
90,1,0,2,1,-1,unknown,Ray,glass,What does Ray believe the glass contains?,-9.842086,0.72484,-0.31591615,0.5638034,-0.871394,0.9688811,-0.40421787,0.92574936,-0.31807417,0.0017752943,0
91,1,1,3,0,1,bourbon,Mike,can,What does Mike believe the can contains?,7.425389,-3.6186402,-2.6371744,-1.419623,-0.3805788,-0.7364208,4.1644216,-0.5125196,-3.0522285,0.69065624,1
92,0,1,1,1,-1,unknown,Ruth,can,What does Ruth believe the can contains?,-9.936021,-1.763157,-1.2225976,-1.3570145,1.9716167,0.13365465,-0.4928573,1.8159567,0.66404885,-0.8944703,0
93,1,1,3,0,1,ale,Chris,drum,What does Chris believe the drum contains?,6.6172867,-3.3073585,-1.5425996,0.56437856,0.021159304,-0.84087574,2.70664,2.2875307,0.29479265,4.4229445,1
94,1,1,3,0,1,coffee,Ryan,pitcher,What does Ryan believe the pitcher contains?,6.6459417,-0.64257264,0.057829,-3.925645,-1.0873195,2.3904312,-0.16944163,0.05674789,-1.4625896,3.127006,1
95,0,0,0,0,0,bourbon,Kevin,tote,What does Kevin believe the tote contains?,8.232015,-0.54013884,-3.0061514,2.6403534,-0.013708708,-3.4614685,1.2966105,-0.70337576,-4.0507536,-0.16540246,1
96,1,1,3,0,1,wine,Greg,dispenser,What does Greg believe the dispenser contains?,6.0674734,1.8106554,-1.575384,-8.274628,3.2878842,-3.5694132,-2.0346823,4.025385,0.458792,1.2092476,1
97,1,0,2,1,-1,unknown,Steve,jar,What does Steve believe the jar contains?,-5.8216,6.7416563,-1.6897572,-0.83903676,-2.9839492,-2.226158,-0.59812707,-2.6128745,-2.6457303,-1.2423306,0
98,1,1,3,0,1,bourbon,Mary,quart,What does Mary believe the quart contains?,8.005342,-3.4595902,-2.2050936,-2.202441,0.79975057,1.0128026,1.5195467,-1.1271702,-4.492104,-2.8888118,1
99,1,1,3,0,1,cocoa,Eve,quart,What does Eve believe the quart contains?,6.3413696,-4.3683343,2.9753864,-0.018751424,2.466684,2.893534,-1.9370261,0.8746503,-3.5936837,-0.9067559,1
100,0,0,0,0,0,champagne,Linda,glass,What does Linda believe the glass contains?,9.013213,0.07644542,-2.7143335,4.653743,1.6624079,7.323917,1.4217068,3.7645547,0.0009193514,-2.3693495,1
101,1,0,2,1,-1,unknown,Quinn,dispenser,What does Quinn believe the dispenser contains?,-8.015316,2.353792,-0.8041201,0.2768784,-2.3484359,-1.0871227,-0.81563544,0.9637392,-0.9143445,1.0014595,0
102,0,0,0,0,0,juice,Megan,bottle,What does Megan believe the bottle contains?,7.982273,3.4663143,2.5667608,2.2391617,5.240274,2.9376779,-1.6164323,-0.046508078,-0.76880425,-2.449139,1
103,0,1,1,1,-1,unknown,Liz,tank,What does Liz believe the tank contains?,-9.92573,-3.013746,0.20381871,-0.51490855,0.6392459,-1.0092717,1.1449308,0.117649436,-1.0848091,-0.64972705,0
104,1,0,2,1,-1,unknown,Beth,drum,What does Beth believe the drum contains?,-7.546414,3.1063406,0.5180619,0.6037815,-1.7201633,0.33031812,-1.3207259,-0.45369393,-0.20959038,-0.6076713,0
105,1,0,2,1,-1,unknown,Linda,dispenser,What does Linda believe the dispenser contains?,-5.1562877,5.313593,-0.47785702,-1.019452,-0.9099062,0.9080961,-0.8996916,-1.8348795,-0.7213409,-0.06512248,0
106,1,0,2,1,-1,unknown,Matt,cup,What does Matt believe the cup contains?,-10.506007,0.33790645,-0.29656732,0.89825,-0.5989176,-0.00702598,-0.86234635,-1.2238688,0.5229424,-0.7647041,0
107,1,1,3,0,1,wine,Neil,tun,What does Neil believe the tun contains?,6.602903,0.2686505,-3.0471473,-7.468072,2.7544327,-4.28283,-1.9322236,4.4565125,1.4758874,1.8712486,1
108,0,0,0,0,0,rum,Jeff,drum,What does Jeff believe the drum contains?,8.106418,-1.1930852,-2.1837487,2.084103,1.5061041,-4.571847,0.8933636,-3.6812797,-3.3457868,-1.7627165,1
109,0,0,0,0,0,gin,Joe,container,What does Joe believe the container contains?,9.304883,3.4488833,-1.643187,4.929889,3.35991,-6.7638984,2.4666274,-2.059601,-3.0804458,1.4364693,1
110,1,1,3,0,1,water,Mike,mug,What does Mike believe the mug contains?,6.815974,-1.5979494,-3.5716581,-2.7378645,-1.6418327,2.2224162,-2.726398,-4.371421,3.7892227,2.1862497,1
111,1,1,3,0,1,wine,Sam,flask,What does Sam believe the flask contains?,10.39751,2.3806744,-2.2869017,-8.648313,1.7983426,-3.974045,-3.663723,3.9196284,-0.1882443,-1.7752792,1
112,0,1,1,1,-1,unknown,Laura,bottle,What does Laura believe the bottle contains?,-8.661077,-1.216592,0.0833722,-0.016197208,0.6639644,-1.043201,2.6573226,-0.2785593,-0.6207659,-0.7348077,0
113,0,0,0,0,0,gin,Pete,bottle,What does Pete believe the bottle contains?,9.738224,3.5316718,-6.055307,5.0783787,0.64356816,-7.3857503,2.4587305,-2.468257,-3.1740406,1.6786755,1
114,1,0,2,1,-1,unknown,Steve,flask,What does Steve believe the flask contains?,-8.250367,3.4035425,-0.52641803,-0.07931417,-1.7160994,-0.6677176,-0.48629737,0.29185906,-0.46700728,0.7382239,0
115,1,1,3,0,1,monster,Kyle,horn,What does Kyle believe the horn contains?,6.823055,-4.0581484,3.5056336,-0.08854482,-7.4587536,-1.8401686,-1.5343325,-0.66128075,1.7257398,-0.4428891,1
116,1,0,2,1,-1,unknown,Sam,cup,What does Sam believe the cup contains?,-10.0282755,0.20824476,-0.8443757,0.98675853,-2.182053,1.4274639,-1.3886238,0.6326514,-0.16637544,0.20760737,0
117,1,0,2,1,-1,unknown,Sean,drum,What does Sean believe the drum contains?,-6.3331227,4.998319,-2.6268759,0.3060743,-2.4593709,0.9203122,-1.5388118,-1.8873477,1.8791469,2.0900035,0
118,1,1,3,0,1,stout,Jane,dispenser,What does Jane believe the dispenser contains?,6.3834805,-2.297759,0.33488935,-0.46761313,-2.6298554,1.2133656,5.370354,2.8411083,2.4380906,-2.928418,1
119,1,1,3,0,1,sprite,Bill,dispenser,What does Bill believe the dispenser contains?,5.2943397,-0.35781896,5.6758127,-2.9875755,-1.0503922,-0.53854305,1.2415932,-1.4300772,1.4490261,1.8520974,1
120,1,1,3,0,1,espresso,James,pitcher,What does James believe the pitcher contains?,7.8426805,-1.4790585,-0.7246697,-0.34813598,-3.0822787,2.0838785,1.7739772,-0.14228909,-0.27248394,3.803108,1
121,1,1,3,0,1,tea,Rose,cup,What does Rose believe the cup contains?,7.7483764,-1.0116127,-0.8977405,-4.4916625,0.5178058,3.654536,-1.7250693,-3.0275664,-1.4259177,-0.8893503,1
122,1,1,3,0,1,ale,Pete,vat,What does Pete believe the vat contains?,7.454995,0.6030419,1.0661334,-0.6650606,-1.7792077,-0.9099391,2.5423934,-0.12134326,-1.2497038,2.8939307,1
123,1,0,2,1,-1,unknown,Megan,vat,What does Megan believe the vat contains?,-8.523731,1.1593276,0.16860911,0.86193645,-1.6865531,-0.90745026,-1.2077372,-0.48908472,-0.89941025,-0.23894003,0
124,1,0,2,1,-1,unknown,Gwen,tank,What does Gwen believe the tank contains?,-6.7747965,5.279737,-1.1890798,-0.22538485,-1.3666147,-1.609857,0.869509,-2.7395623,-2.8637946,-1.4879715,0
125,1,0,2,1,-1,unknown,Matt,tote,What does Matt believe the tote contains?,-7.6813374,2.9496036,-0.46404877,0.11816202,-2.7525718,-2.0654528,-0.17417486,0.6282393,-1.1874863,0.11031186,0
