sample_idx,char_idx,obj_idx,query_pair,is_unknown,state_idx,target_state,queried_character,queried_object,question
0,0,0,0,0,0,wine,Charlie,jar,What does Charlie believe the jar contains?
1,0,0,0,0,0,tea,Heidi,cup,What does Heidi believe the cup contains?
2,1,1,3,0,1,wine,Anna,tank,What does Anna believe the tank contains?
3,0,0,0,0,0,champagne,Dean,pitcher,What does Dean believe the pitcher contains?
4,1,1,3,0,1,beer,Kevin,mug,What does Kevin believe the mug contains?
5,1,0,2,1,-1,unknown,Oscar,cup,What does Oscar believe the cup contains?
6,0,0,0,0,0,cocktail,Eve,container,What does Eve believe the container contains?
7,0,1,1,1,-1,unknown,Carl,flask,What does Carl believe the flask contains?
8,1,0,2,1,-1,unknown,Zoe,container,What does Zoe believe the container contains?
9,0,0,0,0,0,float,Ken,container,What does Ken believe the container contains?
10,0,1,1,1,-1,unknown,Grace,can,What does Grace believe the can contains?
11,1,1,3,0,1,champagne,Chad,bottle,What does Chad believe the bottle contains?
12,1,1,3,0,1,stout,David,pint,What does David believe the pint contains?
13,1,1,3,0,1,wine,Zoe,can,What does Zoe believe the can contains?
14,1,0,2,1,-1,unknown,Rose,quart,What does Rose believe the quart contains?
15,1,0,2,1,-1,unknown,Lee,glass,What does Lee believe the glass contains?
16,0,0,0,0,0,monster,Jean,tote,What does Jean believe the tote contains?
17,1,0,2,1,-1,unknown,Fred,can,What does Fred believe the can contains?
18,0,1,1,1,-1,unknown,Zoe,vat,What does Zoe believe the vat contains?
19,0,0,0,0,0,soda,Charlie,tote,What does Charlie believe the tote contains?
20,1,0,2,1,-1,unknown,James,dispenser,What does James believe the dispenser contains?
21,0,0,0,0,0,tea,Pam,drum,What does Pam believe the drum contains?
22,1,0,2,1,-1,unknown,Mary,dispenser,What does Mary believe the dispenser contains?
23,1,1,3,0,1,ale,Jane,flask,What does Jane believe the flask contains?
24,1,0,2,1,-1,unknown,Tina,glass,What does Tina believe the glass contains?
25,0,0,0,0,0,wine,Heidi,bottle,What does Heidi believe the bottle contains?
26,0,1,1,1,-1,unknown,Sean,pint,What does Sean believe the pint contains?
27,1,0,2,1,-1,unknown,Ray,jug,What does Ray believe the jug contains?
28,1,1,3,0,1,ale,Lily,jug,What does Lily believe the jug contains?
29,0,0,0,0,0,ale,Tim,urn,What does Tim believe the urn contains?
30,0,1,1,1,-1,unknown,Rose,glass,What does Rose believe the glass contains?
31,0,1,1,1,-1,unknown,Rachel,can,What does Rachel believe the can contains?
32,0,0,0,0,0,water,Eve,cup,What does Eve believe the cup contains?
33,0,1,1,1,-1,unknown,Ian,jug,What does Ian believe the jug contains?
34,1,0,2,1,-1,unknown,Jean,can,What does Jean believe the can contains?
35,0,1,1,1,-1,unknown,Megan,cup,What does Megan believe the cup contains?
36,0,0,0,0,0,monster,Pam,drum,What does Pam believe the drum contains?
37,1,0,2,1,-1,unknown,Donna,tote,What does Donna believe the tote contains?
38,0,1,1,1,-1,unknown,Mark,tote,What does Mark believe the tote contains?
39,0,1,1,1,-1,unknown,Mary,vat,What does Mary believe the vat contains?
40,1,1,3,0,1,stout,Oscar,flute,What does Oscar believe the flute contains?
41,0,0,0,0,0,cocoa,Olivia,mug,What does Olivia believe the mug contains?
42,0,0,0,0,0,soda,Fred,vat,What does Fred believe the vat contains?
43,1,0,2,1,-1,unknown,Alice,pitcher,What does Alice believe the pitcher contains?
44,0,0,0,0,0,soda,Ken,flask,What does Ken believe the flask contains?
45,0,1,1,1,-1,unknown,Will,can,What does Will believe the can contains?
46,1,0,2,1,-1,unknown,Dan,container,What does Dan believe the container contains?
47,1,0,2,1,-1,unknown,Charlie,tun,What does Charlie believe the tun contains?
48,1,0,2,1,-1,unknown,Oscar,pitcher,What does Oscar believe the pitcher contains?
49,0,1,1,1,-1,unknown,Pete,tank,What does Pete believe the tank contains?
50,0,0,0,0,0,milk,Cathy,flask,What does Cathy believe the flask contains?
51,0,0,0,0,0,espresso,Ken,quart,What does Ken believe the quart contains?
52,1,1,3,0,1,juice,Julia,tun,What does Julia believe the tun contains?
53,0,1,1,1,-1,unknown,Julia,can,What does Julia believe the can contains?
54,1,0,2,1,-1,unknown,Lily,bottle,What does Lily believe the bottle contains?
55,0,1,1,1,-1,unknown,Dave,horn,What does Dave believe the horn contains?
56,1,0,2,1,-1,unknown,Lisa,vat,What does Lisa believe the vat contains?
57,0,1,1,1,-1,unknown,Pete,drum,What does Pete believe the drum contains?
58,0,1,1,1,-1,unknown,Kim,tun,What does Kim believe the tun contains?
59,0,0,0,0,0,porter,Max,can,What does Max believe the can contains?
60,0,1,1,1,-1,unknown,Wayne,pint,What does Wayne believe the pint contains?
61,1,0,2,1,-1,unknown,John,tun,What does John believe the tun contains?
62,1,1,3,0,1,port,Phil,pitcher,What does Phil believe the pitcher contains?
63,1,1,3,0,1,espresso,Dean,container,What does Dean believe the container contains?
64,0,1,1,1,-1,unknown,Jeff,vat,What does Jeff believe the vat contains?
65,0,1,1,1,-1,unknown,Keith,tote,What does Keith believe the tote contains?
66,1,0,2,1,-1,unknown,Anna,flute,What does Anna believe the flute contains?
67,1,1,3,0,1,porter,Phil,drum,What does Phil believe the drum contains?
68,0,0,0,0,0,beer,Rose,flute,What does Rose believe the flute contains?
69,0,0,0,0,0,milk,Julia,vat,What does Julia believe the vat contains?
70,1,1,3,0,1,float,Rachel,vat,What does Rachel believe the vat contains?
71,0,1,1,1,-1,unknown,Rob,tun,What does Rob believe the tun contains?
72,0,1,1,1,-1,unknown,Tina,can,What does Tina believe the can contains?
73,1,0,2,1,-1,unknown,Frank,flask,What does Frank believe the flask contains?
74,0,0,0,0,0,porter,Rachel,bottle,What does Rachel believe the bottle contains?
75,0,0,0,0,0,cocoa,Phil,pint,What does Phil believe the pint contains?
76,1,0,2,1,-1,unknown,Jean,drum,What does Jean believe the drum contains?
77,0,1,1,1,-1,unknown,Amy,tun,What does Amy believe the tun contains?
78,1,1,3,0,1,punch,Gwen,dispenser,What does Gwen believe the dispenser contains?
79,0,1,1,1,-1,unknown,Greg,flute,What does Greg believe the flute contains?
80,0,1,1,1,-1,unknown,Heidi,mug,What does Heidi believe the mug contains?
81,1,1,3,0,1,coffee,Lee,horn,What does Lee believe the horn contains?
82,0,1,1,1,-1,unknown,Kevin,can,What does Kevin believe the can contains?
83,0,0,0,0,0,cocktail,Jake,tank,What does Jake believe the tank contains?
84,0,0,0,0,0,water,Jane,bottle,What does Jane believe the bottle contains?
85,1,1,3,0,1,cocoa,Lily,drum,What does Lily believe the drum contains?
86,0,0,0,0,0,juice,Gary,tote,What does Gary believe the tote contains?
87,0,0,0,0,0,porter,John,horn,What does John believe the horn contains?
