sample_idx,char_idx,obj_idx,query_pair,is_unknown,state_idx,target_state,queried_character,queried_object,question,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,cluster
0,0,0,0,0,0,wine,Charlie,jar,What does Charlie believe the jar contains?,4.999832,-6.199466,-5.750466,1.3160279,1.2110492,1.1827608,0.7186395,-2.373524,2.3887365,3.8436298,1
1,0,0,0,0,0,tea,Heidi,cup,What does Heidi believe the cup contains?,0.39847592,-3.1112394,-3.7066598,-1.3758475,2.626235,3.3668926,0.75902224,1.7622184,-2.074692,1.505924,1
2,1,1,3,0,1,wine,Anna,tank,What does Anna believe the tank contains?,4.6977735,-2.8270323,-0.53415835,4.6473365,2.8418808,-0.63998216,3.551701,-2.966349,1.0722954,1.462834,1
3,0,0,0,0,0,champagne,Dean,pitcher,What does Dean believe the pitcher contains?,9.104475,8.104936,-8.34418,-1.4873449,-5.1270995,1.1489472,1.2883302,1.6334424,-1.4222594,0.5934682,0
4,1,1,3,0,1,beer,Kevin,mug,What does Kevin believe the mug contains?,2.0515032,-1.8346215,0.5904985,3.0277793,3.0757158,-3.5028055,0.2736409,1.3075749,-4.1046867,0.24335791,1
5,1,0,2,1,-1,unknown,Oscar,cup,What does Oscar believe the cup contains?,0.5312176,-0.18479197,0.59928733,-2.9229348,1.5127376,-2.635949,-2.1690052,-2.7461097,-1.1815965,-0.2889007,1
6,0,0,0,0,0,cocktail,Eve,container,What does Eve believe the container contains?,-1.5636679,0.034492217,-2.3346086,-2.8734307,-0.76470286,3.6745596,0.049055338,0.8920505,0.5064609,-2.9656065,1
7,0,1,1,1,-1,unknown,Carl,flask,What does Carl believe the flask contains?,1.5119694,-0.89634454,1.5496064,-0.11562618,0.1515445,-1.3747866,-0.8260029,0.060627215,3.126683,2.4359148,1
8,1,0,2,1,-1,unknown,Zoe,container,What does Zoe believe the container contains?,-0.43238878,1.2521807,-0.97590065,2.716595,3.0865614,2.3831105,1.4207791,1.0706862,1.4144952,-6.848406,1
9,0,0,0,0,0,float,Ken,container,What does Ken believe the container contains?,-4.76915,-1.8365437,0.39494196,-0.06405467,-3.5690472,4.583915,-2.6502557,0.510196,-2.2998483,-4.0349736,1
10,0,1,1,1,-1,unknown,Grace,can,What does Grace believe the can contains?,0.3966737,-0.31393677,2.527848,-1.1888175,-0.6034169,-0.6298166,-2.4557042,3.5512,3.305942,2.0541265,1
11,1,1,3,0,1,champagne,Chad,bottle,What does Chad believe the bottle contains?,9.9031315,9.894931,-4.845195,1.8278503,-3.4837034,-0.30443773,3.0358598,0.9766363,-1.3070781,-0.7701016,0
12,1,1,3,0,1,stout,David,pint,What does David believe the pint contains?,1.1192802,1.6623155,3.7806196,0.87723273,0.00032604262,-2.670358,0.70659596,1.442021,0.3448352,1.8941349,1
13,1,1,3,0,1,wine,Zoe,can,What does Zoe believe the can contains?,6.559683,-4.2732697,-2.0378704,4.6731215,3.649581,-1.2621585,2.579631,-3.0305312,2.5908148,2.7586055,1
14,1,0,2,1,-1,unknown,Rose,quart,What does Rose believe the quart contains?,-1.8084109,-0.22332999,0.41668212,0.07059424,1.2137573,0.16790745,0.84915376,-1.9355412,0.71825105,-0.08029673,1
15,1,0,2,1,-1,unknown,Lee,glass,What does Lee believe the glass contains?,0.2870907,-0.27433872,2.08593,0.9032024,0.91977674,0.13541482,-0.5558901,1.8222536,2.2253242,-1.1533308,1
16,0,0,0,0,0,monster,Jean,tote,What does Jean believe the tote contains?,-6.8273964,-2.017796,-5.7677255,-7.9185624,1.1786691,-3.795838,6.092801,1.7796488,1.683216,0.29213566,1
17,1,0,2,1,-1,unknown,Fred,can,What does Fred believe the can contains?,0.45328432,-1.7795663,1.7170521,0.8281677,0.57075155,-0.42883778,1.2580205,-1.1577163,-2.5272453,-1.5845561,1
18,0,1,1,1,-1,unknown,Zoe,vat,What does Zoe believe the vat contains?,0.53199404,-1.0886271,0.77556354,-0.9376121,1.0629843,-1.1397035,-1.5667183,3.3138757,3.7220411,0.9657037,1
19,0,0,0,0,0,soda,Charlie,tote,What does Charlie believe the tote contains?,-2.9762046,-0.43736538,-3.8104365,-1.1353024,1.2822144,2.8435135,-2.3625576,-2.150049,-0.39960787,2.5358331,1
20,1,0,2,1,-1,unknown,James,dispenser,What does James believe the dispenser contains?,0.67627186,-0.575082,1.6001216,-0.27554435,1.0629396,-0.92786133,-0.4985408,0.55381894,-0.1185529,-1.0948491,1
21,0,0,0,0,0,tea,Pam,drum,What does Pam believe the drum contains?,-0.6884002,-2.700342,-3.434749,-0.15855452,1.1588393,3.3028955,1.0158668,1.2903214,-2.0611212,2.3218448,1
22,1,0,2,1,-1,unknown,Mary,dispenser,What does Mary believe the dispenser contains?,0.4189566,-1.0867944,-0.25379363,-0.24170427,1.3444704,-0.07777183,-1.0226322,1.0095356,2.5418262,-3.4409883,1
23,1,1,3,0,1,ale,Jane,flask,What does Jane believe the flask contains?,1.3920681,-2.292661,3.3857033,5.2549877,-2.3747234,-2.0484197,2.4383435,4.632326,-4.6940656,2.9361234,1
24,1,0,2,1,-1,unknown,Tina,glass,What does Tina believe the glass contains?,2.1562376,-1.7646189,-0.045634262,0.1450332,0.99247223,1.0023555,2.4435105,-2.829408,2.3410964,0.47375166,1
25,0,0,0,0,0,wine,Heidi,bottle,What does Heidi believe the bottle contains?,6.115065,-6.1710944,-5.9292717,1.3388739,2.1010125,1.2229584,1.4959003,-2.7000706,3.1461477,3.8727095,1
26,0,1,1,1,-1,unknown,Sean,pint,What does Sean believe the pint contains?,-0.8681921,0.7195241,1.3956087,-1.2552239,0.06319381,-0.69275254,1.4219521,0.8020742,1.3431537,0.9103155,1
27,1,0,2,1,-1,unknown,Ray,jug,What does Ray believe the jug contains?,-1.7622416,-0.15440263,1.1946982,0.1469602,-0.3716975,-0.21357095,-1.8597318,-1.3021939,1.3448812,1.3730204,1
28,1,1,3,0,1,ale,Lily,jug,What does Lily believe the jug contains?,1.3050883,-0.9186342,3.9545383,4.604093,-0.20505328,-0.5158769,4.5544076,0.8680313,-4.269914,-0.2526601,1
29,0,0,0,0,0,ale,Tim,urn,What does Tim believe the urn contains?,-1.1118485,-4.2021556,1.7737489,2.2573776,-5.785487,1.7884433,1.8464351,3.8280046,-5.467581,6.128297,1
30,0,1,1,1,-1,unknown,Rose,glass,What does Rose believe the glass contains?,2.44624,-1.2639986,0.49518257,2.951513,2.3198166,0.90417385,2.5021067,-1.4336431,1.7646109,-1.0039499,1
31,0,1,1,1,-1,unknown,Rachel,can,What does Rachel believe the can contains?,2.334614,-1.1665425,1.6316793,0.13457385,0.5772866,-0.6852905,-0.59780866,-0.26183906,4.490086,3.1706486,1
